"","count","n","col1","output"
"948",2579,2,"to","run"
"949",2576,2,"my","mind"
"950",2575,2,"before","i"
"951",2575,2,"know","if"
"952",2574,2,"and","its"
"953",2574,2,"my","heart"
"954",2565,2,"a","real"
"955",2565,2,"more","of"
"956",2562,2,"a","bad"
"957",2562,2,"how","do"
"958",2558,2,"long","time"
"959",2555,2,"me","i"
"960",2555,2,"now","that"
"961",2553,2,"i","believe"
"962",2551,2,"he","did"
"963",2550,2,"my","head"
"964",2550,2,"the","real"
"965",2548,2,"people","to"
"966",2548,2,"the","ball"
"967",2543,2,"out","a"
"968",2543,2,"who","had"
"969",2543,2,"you","may"
"970",2541,2,"for","him"
"971",2540,2,"a","whole"
"972",2539,2,"and","your"
"973",2539,2,"to","eat"
"974",2537,2,"but","a"
"975",2537,2,"is","about"
"976",2533,2,"that","in"
"977",2532,2,"so","the"
"978",2526,2,"it","can"
"979",2525,2,"and","as"
